CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,354,1,1
1,ITA,66D,1,1
2,IPC,392,1,1
2,NDPS,20,1,1
3,IPC,354,1,1
3,IPC,392,1,1
4,ITA,66C,1,1
4,ITA,66D,1,1
5,IPC,354,1,1
6,IPC,379,1,1
6,ITA,66D,1,1
7,IPC,307,1,1
7,IPC,498A,1,1
8,IPC,392,1,1
9,IPC,392,1,1
9,IPC,354,1,1
10,IPC,354,1,1
11,IPC,307,1,1
12,IPC,498A,1,1
12,IPC,379,1,1
13,IPC,392,1,1
14,IPC,354,1,1
14,IPC,420,1,1
15,IPC,379,1,1
15,IPC,302,1,1
16,ITA,66D,1,1
17,NDPS,20,1,1
17,IPC,392,1,1
18,IPC,307,1,1
18,IPC,354,1,1
19,IPC,498A,1,1
19,NDPS,20,1,1
20,IPC,420,1,1
20,IPC,302,1,1
21,IPC,420,1,1
22,IPC,354,1,1
23,IPC,498A,1,1
24,IPC,354,1,1
24,NDPS,20,1,1
25,IPC,420,1,1
26,IPC,420,1,1
27,IPC,420,1,1
27,IPC,354,1,1
28,IPC,420,1,1
28,IPC,354,1,1
29,IPC,392,1,1
30,IPC,302,1,1
31,MVA,185,1,1
32,IPC,307,1,1
32,MVA,185,1,1
33,MVA,185,1,1
34,IPC,420,1,1
35,NDPS,20,1,1
35,IPC,302,1,1
36,IPC,379,1,1
37,MVA,185,1,1
38,IPC,420,1,1
38,IPC,307,1,1
39,ITA,66C,1,1
39,IPC,420,1,1
40,ITA,66C,1,1
41,IPC,354,1,1
42,IPC,379,1,1
42,NDPS,20,1,1
43,NDPS,20,1,1
43,ITA,66D,1,1
44,NDPS,20,1,1
45,IPC,302,1,1
45,IPC,498A,1,1
46,ITA,66C,1,1
47,MVA,185,1,1
48,ITA,66D,1,1
48,MVA,185,1,1
49,IPC,392,1,1
49,IPC,379,1,1
50,IPC,498A,1,1
51,IPC,307,1,1
52,ITA,66C,1,1
52,IPC,392,1,1
53,MVA,185,1,1
53,IPC,302,1,1
54,ITA,66D,1,1
54,IPC,354,1,1
55,MVA,185,1,1
56,IPC,379,1,1
57,ITA,66D,1,1
58,ITA,66C,1,1
59,IPC,354,1,1
59,IPC,420,1,1
60,IPC,392,1,1
60,ITA,66D,1,1
61,IPC,498A,1,1
61,ITA,66D,1,1
62,ITA,66D,1,1
63,ITA,66D,1,1
64,IPC,420,1,1
64,IPC,498A,1,1
65,IPC,392,1,1
66,IPC,379,1,1
67,IPC,498A,1,1
68,IPC,354,1,1
