ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2026-06-21,1,15,597,267,30,2,1,0
2,2,1,2024-11-10,1,16,634,636,31,4,1,0
3,2,1,2024-11-26,1,16,634,636,31,5,1,0
4,4,1,2026-07-30,1,1,19,12,1,9,1,0
5,5,2,2024-11-06,1,11,473,1085,21,11,1,0
6,5,1,2024-11-06,1,11,473,1085,21,12,1,0
7,6,1,2026-05-19,1,16,628,2188,32,13,1,0
8,6,1,2026-05-17,1,16,628,2188,32,15,1,0
9,8,1,2024-01-07,1,19,724,75,37,20,1,0
10,9,1,2024-02-13,1,20,756,2339,40,21,1,0
11,9,1,2024-03-13,1,20,756,2339,40,23,1,0
12,11,1,2026-04-07,1,9,375,1276,17,27,1,0
13,11,1,2026-04-13,1,9,375,1276,17,28,1,0
14,12,1,2023-07-16,1,12,508,69,23,29,1,0
15,12,1,2023-07-06,1,12,508,69,23,30,1,0
16,13,1,2024-06-06,1,22,861,470,43,31,1,0
17,14,1,2023-02-12,1,5,227,603,9,32,1,0
18,14,1,2023-02-24,1,5,227,603,9,33,1,0
19,15,2,2025-08-14,1,3,123,453,5,36,1,0
20,16,1,2023-10-28,1,29,1044,2139,57,37,1,0
21,17,1,2026-02-21,1,17,671,768,34,39,1,0
22,19,1,2024-03-27,1,24,922,384,47,42,1,0
23,19,1,2024-03-04,1,24,922,384,47,43,1,0
24,20,1,2024-02-04,1,14,564,186,27,44,1,0
25,21,1,2023-07-07,1,5,223,630,10,47,1,0
26,22,1,2023-05-17,1,5,260,2295,9,50,1,0
27,23,1,2024-03-16,1,27,1005,2122,54,51,1,0
28,24,1,2023-06-23,1,4,167,1799,8,52,1,0
29,25,1,2024-08-21,1,8,360,166,16,53,1,0
30,26,1,2024-10-25,1,20,750,172,39,55,1,0
31,27,1,2024-07-02,1,1,11,1941,1,56,1,0
32,27,1,2024-07-16,1,1,11,1941,1,58,1,0
33,27,1,2024-06-28,1,1,11,1941,1,59,1,0
34,29,1,2026-04-05,1,29,1051,926,58,61,1,0
35,31,1,2023-07-20,1,4,158,1342,7,64,1,0
36,32,1,2024-05-31,1,1,27,2038,2,65,1,0
37,32,1,2024-06-02,1,1,27,2038,2,66,1,0
38,32,2,2024-05-21,1,1,27,2038,2,67,1,0
39,33,1,2023-12-13,1,8,350,302,16,69,1,0
40,34,1,2023-04-24,1,2,37,1480,3,70,1,0
41,34,1,2023-04-17,1,2,37,1480,3,71,1,0
42,36,1,2025-11-05,1,3,98,1186,5,74,1,0
43,37,1,2024-01-23,1,9,399,914,17,78,1,0
44,37,1,2024-01-24,1,9,399,914,17,79,1,0
45,37,1,2024-01-11,1,9,399,914,17,80,1,0
46,38,1,2024-08-22,1,2,36,483,4,83,1,0
47,41,2,2025-02-14,1,3,104,2029,6,88,1,0
48,41,1,2025-01-30,1,3,104,2029,6,89,1,0
49,41,1,2025-01-26,1,3,104,2029,6,90,1,0
50,42,1,2024-03-01,1,8,351,1914,15,92,1,0
51,42,1,2024-03-04,1,8,351,1914,15,93,1,0
52,43,2,2024-09-01,1,31,1117,691,62,94,1,0
53,43,1,2024-09-01,1,31,1117,691,62,95,1,0
54,44,1,2024-01-22,1,31,1099,2128,62,98,1,0
55,44,2,2024-01-12,1,31,1099,2128,62,99,1,0
56,45,1,2025-09-09,1,25,929,967,49,100,1,0
57,46,1,2026-03-25,1,22,830,714,43,103,1,0
58,47,1,2025-11-11,1,12,514,1222,24,105,1,0
59,47,2,2025-11-10,1,12,514,1222,24,106,1,0
60,47,1,2025-11-13,1,12,514,1222,24,107,1,0
61,47,1,2025-11-24,1,12,514,1222,24,108,1,0
62,48,1,2026-07-30,1,3,131,2180,5,109,1,0
63,49,1,2023-04-26,1,20,756,1477,40,110,1,0
64,49,1,2023-05-17,1,20,756,1477,40,111,1,0
65,49,1,2023-05-05,1,20,756,1477,40,112,1,0
66,50,1,2025-03-23,1,14,552,2238,27,113,1,0
67,50,2,2025-04-11,1,14,552,2238,27,114,1,0
68,52,1,2023-12-20,1,27,992,2384,53,117,1,0
69,54,1,2025-09-23,1,5,270,2107,10,119,1,0
70,54,1,2025-10-02,1,5,270,2107,10,120,1,0
71,54,1,2025-09-24,1,5,270,2107,10,121,1,0
72,55,1,2024-10-02,1,5,264,1754,9,122,1,0
73,57,1,2023-06-06,1,9,390,30,17,127,1,0
74,57,1,2023-05-17,1,9,390,30,17,128,1,0
75,57,1,2023-05-24,1,9,390,30,17,130,1,0
76,59,1,2024-01-22,1,17,668,1688,33,133,1,0
77,60,1,2023-12-12,1,11,449,2339,22,137,1,0
78,61,1,2024-04-05,1,5,231,2287,9,138,1,0
79,62,1,2024-02-06,1,19,732,250,37,141,1,0
80,63,1,2023-07-13,1,2,50,2095,3,146,1,0
81,63,1,2023-08-01,1,2,50,2095,3,147,1,0
82,64,1,2023-08-31,1,5,183,531,9,148,1,0
83,64,2,2023-09-20,1,5,183,531,9,149,1,0
84,65,1,2025-12-26,1,16,618,1166,32,151,1,0
85,67,2,2025-05-20,1,3,111,1964,6,154,1,0
86,68,1,2024-03-31,1,1,16,511,2,156,1,0
87,68,1,2024-04-24,1,1,16,511,2,157,1,0
88,70,1,2025-08-24,1,3,125,1674,5,160,1,0
89,71,1,2025-07-12,1,19,728,2033,37,162,1,0
90,72,1,2025-05-15,1,22,826,103,43,164,1,0
91,72,1,2025-05-19,1,22,826,103,43,165,1,0
92,73,1,2025-03-26,1,28,1018,917,55,166,1,0
93,74,1,2025-06-18,1,17,661,2388,33,167,1,0
94,75,1,2026-07-29,1,2,57,390,3,168,1,0
95,77,1,2026-05-11,1,28,1024,2293,55,172,1,0
96,78,1,2025-09-27,1,8,363,1366,16,174,1,0
97,78,1,2025-10-05,1,8,363,1366,16,175,1,0
98,79,1,2025-03-03,1,5,210,1666,9,176,1,0
99,79,1,2025-03-27,1,5,210,1666,9,177,1,0
100,80,2,2026-05-10,1,5,232,1466,9,178,1,0
101,80,1,2026-04-19,1,5,232,1466,9,179,1,0
102,81,1,2024-10-26,1,23,879,1121,46,181,1,0
103,82,1,2023-08-26,1,29,1059,1616,58,182,1,0
104,82,1,2023-08-30,1,29,1059,1616,58,183,1,0
105,83,1,2025-02-21,1,12,505,1944,23,185,1,0
106,83,1,2025-03-10,1,12,505,1944,23,186,1,0
107,84,1,2023-10-20,1,16,617,733,32,187,1,0
108,84,1,2023-10-13,1,16,617,733,32,189,1,0
109,85,1,2025-11-08,1,9,394,1514,18,190,1,0
110,86,2,2025-09-11,1,23,877,1644,46,194,1,0
111,86,2,2025-09-17,1,23,877,1644,46,195,1,0
112,86,1,2025-09-06,1,23,877,1644,46,196,1,0
113,87,1,2025-07-23,1,14,560,1078,28,197,1,0
114,87,1,2025-07-18,1,14,560,1078,28,198,1,0
115,87,1,2025-07-27,1,14,560,1078,28,199,1,0
116,88,1,2023-04-13,1,14,550,1252,28,204,1,0
117,89,1,2025-03-16,1,31,1104,52,61,206,1,0
