CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2026-09-02T00:00:00,C,267
2,3,2024-03-14T00:00:00,A,1326
3,9,2024-04-26T00:00:00,A,2339
4,10,2023-12-30T00:00:00,B,2175
5,12,2023-09-09T00:00:00,B,69
6,13,2024-08-16T00:00:00,A,470
7,21,2023-07-30T00:00:00,B,630
8,22,2023-06-01T00:00:00,A,2295
9,25,2024-10-06T00:00:00,A,166
10,26,2024-12-01T00:00:00,C,172
11,27,2024-09-06T00:00:00,A,1941
12,34,2023-06-05T00:00:00,A,1480
13,39,2026-05-09T00:00:00,A,1094
14,41,2025-04-23T00:00:00,A,2029
15,42,2024-03-24T00:00:00,B,1914
16,48,2026-09-17T00:00:00,B,2180
17,54,2025-10-23T00:00:00,A,2107
18,56,2024-10-19T00:00:00,A,1581
19,57,2023-06-16T00:00:00,A,30
20,58,2025-01-19T00:00:00,C,1858
21,70,2025-10-31T00:00:00,A,1674
22,73,2025-05-02T00:00:00,B,917
23,74,2025-08-24T00:00:00,A,2388
24,76,2026-02-13T00:00:00,A,2077
25,82,2023-10-02T00:00:00,C,1616
26,91,2024-07-15T00:00:00,A,2058
27,92,2024-07-01T00:00:00,A,2281
28,96,2024-06-28T00:00:00,B,1936
29,97,2024-01-07T00:00:00,A,1375
30,98,2024-08-08T00:00:00,A,1203
31,100,2025-10-12T00:00:00,B,762
32,101,2024-09-26T00:00:00,A,2325
33,108,2024-05-24T00:00:00,A,1878
34,110,2024-08-30T00:00:00,A,2305
35,115,2025-02-26T00:00:00,A,1803
36,117,2026-08-19T00:00:00,B,2325
37,119,2025-10-28T00:00:00,A,236
38,120,2025-03-02T00:00:00,A,2312
39,126,2024-06-03T00:00:00,A,929
40,127,2023-09-07T00:00:00,A,1074
41,130,2023-08-08T00:00:00,A,1352
42,134,2026-06-26T00:00:00,A,825
43,136,2024-05-11T00:00:00,C,1251
44,145,2024-07-23T00:00:00,A,1014
45,148,2025-08-06T00:00:00,A,1628
46,152,2024-12-03T00:00:00,A,1037
47,158,2024-07-15T00:00:00,B,845
48,163,2023-08-12T00:00:00,A,587
49,164,2024-12-20T00:00:00,A,1103
50,165,2025-06-29T00:00:00,A,2073
51,170,2026-06-12T00:00:00,A,2347
52,175,2025-07-22T00:00:00,A,1079
53,179,2024-06-17T00:00:00,A,244
54,180,2025-07-02T00:00:00,A,206
55,189,2025-03-11T00:00:00,A,1161
56,190,2023-08-22T00:00:00,A,557
57,192,2024-03-29T00:00:00,C,282
58,194,2026-09-17T00:00:00,A,654
59,196,2024-06-15T00:00:00,A,1178
60,200,2026-02-09T00:00:00,A,1917
61,203,2023-06-24T00:00:00,A,1742
62,205,2025-07-17T00:00:00,A,151
63,207,2025-01-01T00:00:00,A,1950
64,209,2023-10-19T00:00:00,A,2008
65,216,2026-04-14T00:00:00,A,401
66,218,2026-06-09T00:00:00,B,1910
67,220,2025-03-22T00:00:00,A,692
68,221,2026-07-04T00:00:00,A,1711
69,229,2026-03-08T00:00:00,A,1723
70,233,2025-09-30T00:00:00,A,23
71,234,2024-04-20T00:00:00,A,2121
72,236,2024-09-24T00:00:00,A,754
73,237,2024-07-31T00:00:00,A,173
74,238,2025-06-10T00:00:00,A,1272
75,245,2023-09-13T00:00:00,A,2205
76,247,2024-07-20T00:00:00,B,1142
77,248,2025-12-06T00:00:00,A,175
78,254,2025-01-31T00:00:00,A,688
79,255,2025-05-15T00:00:00,A,258
80,258,2024-07-26T00:00:00,A,1541
81,259,2024-11-09T00:00:00,A,2477
82,262,2025-07-09T00:00:00,A,1291
83,268,2026-05-10T00:00:00,A,2488
84,269,2024-06-12T00:00:00,A,1380
85,272,2025-04-07T00:00:00,A,1920
86,274,2024-04-11T00:00:00,A,1313
87,276,2026-08-10T00:00:00,B,182
88,277,2025-07-26T00:00:00,B,384
89,280,2023-12-21T00:00:00,A,1247
90,283,2026-04-22T00:00:00,A,1854
91,284,2025-12-17T00:00:00,A,385
92,288,2023-04-17T00:00:00,A,2248
93,291,2024-04-11T00:00:00,A,744
94,292,2024-10-18T00:00:00,A,727
95,300,2024-05-24T00:00:00,A,1959
96,303,2024-11-17T00:00:00,B,1160
97,305,2025-11-28T00:00:00,A,1933
98,306,2023-04-02T00:00:00,A,1098
99,309,2026-03-19T00:00:00,B,1717
100,312,2024-05-22T00:00:00,A,571
101,313,2025-06-11T00:00:00,A,21
102,314,2023-03-05T00:00:00,A,1400
103,318,2023-09-19T00:00:00,C,2036
104,319,2026-08-22T00:00:00,A,2167
105,320,2023-11-16T00:00:00,A,735
106,321,2024-09-26T00:00:00,A,561
107,322,2025-12-20T00:00:00,A,49
108,325,2025-01-24T00:00:00,A,783
109,327,2026-02-23T00:00:00,A,1461
110,330,2025-05-17T00:00:00,A,36
111,334,2024-04-19T00:00:00,A,1670
112,338,2023-03-16T00:00:00,A,831
113,339,2026-02-06T00:00:00,A,2175
114,346,2024-07-17T00:00:00,B,1373
115,354,2025-02-12T00:00:00,A,2061
116,356,2026-02-05T00:00:00,C,911
117,358,2025-12-31T00:00:00,C,986
118,363,2025-02-04T00:00:00,A,2265
119,366,2026-08-04T00:00:00,C,628
120,369,2024-09-02T00:00:00,A,252
121,376,2024-12-28T00:00:00,A,1676
122,378,2025-03-05T00:00:00,A,1883
123,379,2025-08-31T00:00:00,A,196
124,380,2024-10-14T00:00:00,A,567
125,388,2025-01-24T00:00:00,B,1544
126,390,2026-08-24T00:00:00,A,1310
127,393,2025-05-14T00:00:00,A,1180
128,394,2025-04-07T00:00:00,B,904
129,398,2024-12-13T00:00:00,B,2457
130,399,2025-02-11T00:00:00,A,458
131,404,2025-02-01T00:00:00,A,1803
132,406,2023-09-30T00:00:00,A,877
133,409,2026-05-03T00:00:00,A,1824
134,415,2025-11-18T00:00:00,A,2115
135,424,2026-07-30T00:00:00,A,1397
136,425,2023-12-10T00:00:00,A,1819
137,427,2023-08-17T00:00:00,A,1219
138,428,2024-10-20T00:00:00,A,55
139,430,2024-11-25T00:00:00,A,2476
140,431,2025-09-18T00:00:00,A,1889
141,435,2023-03-18T00:00:00,A,2479
142,439,2023-04-26T00:00:00,A,1271
143,442,2026-07-23T00:00:00,A,2422
144,447,2023-03-14T00:00:00,A,436
145,449,2025-07-31T00:00:00,A,1602
146,450,2026-02-01T00:00:00,B,1560
147,453,2025-05-06T00:00:00,A,625
148,457,2025-04-01T00:00:00,A,2399
149,458,2024-07-17T00:00:00,A,1590
150,459,2024-09-14T00:00:00,A,2428
151,464,2024-12-20T00:00:00,A,190
152,467,2026-09-21T00:00:00,A,2095
153,472,2025-02-01T00:00:00,C,1254
154,473,2026-02-10T00:00:00,A,2429
155,478,2024-12-18T00:00:00,A,1550
156,483,2023-05-06T00:00:00,A,1769
157,494,2026-02-16T00:00:00,A,2096
158,496,2023-07-28T00:00:00,A,1377
159,506,2024-07-05T00:00:00,A,2067
160,507,2023-12-14T00:00:00,A,679
161,510,2024-02-17T00:00:00,A,2388
162,512,2026-06-16T00:00:00,A,667
163,515,2024-07-05T00:00:00,A,482
164,518,2024-07-28T00:00:00,B,1799
165,520,2024-01-30T00:00:00,A,1556
166,521,2023-12-04T00:00:00,B,2141
167,525,2024-12-15T00:00:00,B,874
168,531,2023-12-11T00:00:00,A,1961
169,534,2024-12-18T00:00:00,A,393
170,536,2023-03-04T00:00:00,A,1924
171,538,2026-05-04T00:00:00,A,1239
172,539,2023-09-10T00:00:00,A,1499
173,540,2026-04-26T00:00:00,B,1841
174,544,2026-04-14T00:00:00,C,372
175,545,2023-03-11T00:00:00,A,2459
176,546,2025-07-05T00:00:00,C,135
177,550,2025-12-05T00:00:00,B,506
178,552,2026-01-19T00:00:00,A,257
179,553,2024-07-28T00:00:00,A,28
180,555,2024-12-20T00:00:00,A,526
181,561,2025-05-15T00:00:00,B,1119
182,562,2026-09-03T00:00:00,A,1385
183,564,2024-11-15T00:00:00,A,815
184,565,2026-06-09T00:00:00,A,794
185,576,2025-08-30T00:00:00,B,633
186,580,2026-07-28T00:00:00,B,1858
187,586,2026-03-13T00:00:00,A,258
188,588,2026-02-16T00:00:00,A,1054
189,599,2023-02-28T00:00:00,A,490
190,600,2025-09-19T00:00:00,A,151
191,603,2023-09-09T00:00:00,A,1254
192,604,2026-02-03T00:00:00,B,1488
193,605,2026-05-28T00:00:00,A,459
194,607,2024-08-10T00:00:00,C,1800
195,608,2023-05-17T00:00:00,A,771
196,609,2025-12-03T00:00:00,A,1067
197,616,2025-06-16T00:00:00,A,335
198,620,2025-11-27T00:00:00,A,1219
199,626,2023-02-28T00:00:00,A,1378
200,627,2026-06-27T00:00:00,A,1870
201,630,2025-12-10T00:00:00,A,1209
202,637,2025-05-27T00:00:00,A,1874
203,639,2025-07-02T00:00:00,B,2335
204,641,2025-10-19T00:00:00,C,2408
205,647,2024-08-16T00:00:00,A,2309
206,648,2024-08-31T00:00:00,A,1108
207,653,2023-04-14T00:00:00,A,1439
208,654,2025-04-01T00:00:00,A,1577
209,655,2023-12-02T00:00:00,A,2270
210,656,2023-07-23T00:00:00,A,88
211,658,2024-02-19T00:00:00,A,563
212,663,2024-08-24T00:00:00,A,1936
213,664,2023-04-19T00:00:00,A,1333
214,667,2025-03-24T00:00:00,A,1622
215,669,2024-03-20T00:00:00,A,67
216,671,2024-01-10T00:00:00,C,1558
217,675,2026-08-29T00:00:00,C,1870
218,677,2023-03-13T00:00:00,A,1160
219,680,2024-05-13T00:00:00,A,49
220,683,2026-06-04T00:00:00,B,800
221,684,2025-06-10T00:00:00,A,1904
222,685,2024-12-27T00:00:00,A,243
223,693,2024-11-09T00:00:00,A,1560
224,696,2024-09-16T00:00:00,A,2485
225,697,2023-07-18T00:00:00,A,1968
226,702,2023-10-25T00:00:00,B,837
227,709,2026-03-29T00:00:00,B,2375
228,711,2023-04-09T00:00:00,C,1446
229,713,2023-10-13T00:00:00,A,1912
230,717,2024-07-10T00:00:00,A,1406
231,722,2024-04-26T00:00:00,A,950
232,730,2026-05-19T00:00:00,A,1972
233,734,2023-04-03T00:00:00,A,1277
234,735,2024-12-14T00:00:00,A,1859
235,758,2025-01-23T00:00:00,B,2423
236,761,2023-09-13T00:00:00,A,1488
