DistrictID,DistrictName,StateID,Active
1,Bagalkot,1,1
2,Ballari,1,1
3,Belagavi,1,1
4,Bengaluru Rural,1,1
5,Bengaluru Urban,1,1
6,Bidar,1,1
7,Chamarajanagar,1,1
8,Chikkaballapur,1,1
9,Chikkamagaluru,1,1
10,Chitradurga,1,1
11,Dakshina Kannada,1,1
12,Davanagere,1,1
13,Dharwad,1,1
14,Gadag,1,1
15,Hassan,1,1
16,Haveri,1,1
17,Kalaburagi,1,1
18,Kodagu,1,1
19,Kolar,1,1
20,Koppal,1,1
21,Mandya,1,1
22,Mysuru,1,1
23,Raichur,1,1
24,Ramanagara,1,1
25,Shivamogga,1,1
26,Tumakuru,1,1
27,Udupi,1,1
28,Uttara Kannada,1,1
29,Vijayapura,1,1
30,Yadgir,1,1
31,Vijayanagara,1,1
