"CaseMasterID","PoliceStationID","CaseStatusID","CrimeRegisteredDate"
"1","597","2","2026-06-14"
"2","634","1","2024-10-30"
"3","798","2","2024-01-18"
"4","19","1","2026-07-17"
"5","473","1","2024-10-07"
"6","628","3","2026-05-14"
"7","592","4","2024-09-25"
"8","724","4","2023-12-28"
"9","756","2","2024-02-12"
"10","778","2","2023-11-10"
"11","375","3","2026-03-26"
"12","508","2","2023-06-17"
"13","861","2","2024-06-06"
"14","227","3","2023-01-29"
"15","123","3","2025-07-28"
"16","1044","1","2023-10-24"
"17","671","1","2026-02-08"
"18","34","3","2023-06-06"
"19","922","3","2024-03-04"
"20","564","3","2024-01-30"
"21","223","2","2023-06-23"
"22","260","2","2023-04-21"
"23","1005","1","2024-02-25"
"24","167","3","2023-06-19"
"25","360","2","2024-08-14"
"26","750","2","2024-09-27"
"27","11","2","2024-06-19"
"28","947","4","2023-03-25"
"29","1051","3","2026-03-25"
"30","398","3","2025-12-13"
"31","158","4","2023-06-21"
"32","27","1","2024-05-15"
"33","350","1","2023-11-19"
"34","37","2","2023-03-28"
"35","1075","1","2024-06-24"
"36","98","1","2025-11-05"
"37","399","1","2023-12-25"
"38","36","4","2024-08-06"
"39","643","2","2026-03-16"
"40","113","1","2023-08-28"
"41","104","2","2025-01-24"
"42","351","2","2024-02-19"
"43","1117","3","2024-08-30"
"44","1099","4","2024-01-09"
"45","929","4","2025-09-06"
"46","830","1","2026-03-12"
"47","514","3","2025-11-05"
"48","131","2","2026-07-09"
"49","756","3","2023-04-17"
"50","552","4","2025-03-12"
"51","1034","1","2023-08-06"
"52","992","1","2023-12-04"
"53","200","1","2024-05-02"
"54","270","2","2025-09-05"
"55","264","4","2024-09-15"
"56","582","2","2024-09-13"
"57","390","2","2023-05-09"
"58","67","2","2024-10-28"
"59","668","3","2024-01-08"
"60","449","1","2023-11-27"
"61","231","4","2024-03-14"
"62","732","3","2024-01-14"
"63","50","1","2023-07-09"
"64","183","4","2023-08-26"
"65","618","1","2025-12-02"
"66","1017","1","2023-02-04"
"67","111","1","2025-05-15"
"68","16","1","2024-03-30"
"69","252","1","2023-03-21"
"70","125","2","2025-08-07"
"71","728","1","2025-07-04"
"72","826","3","2025-04-29"
"73","1018","2","2025-03-19"
"74","661","2","2025-06-13"
"75","57","3","2026-07-15"
"76","1069","2","2025-11-16"
"77","1024","4","2026-04-24"
"78","363","3","2025-09-25"
"79","210","1","2025-03-01"
"80","232","3","2026-04-16"
"81","879","1","2024-10-13"
"82","1059","2","2023-08-03"
"83","505","1","2025-02-20"
"84","617","1","2023-10-06"
"85","394","1","2025-11-03"
"86","877","1","2025-09-06"
"87","560","3","2025-07-02"
"88","550","3","2023-04-07"
"89","1104","3","2025-02-16"
"90","626","1","2023-01-25"
"91","657","2","2024-05-08"
"92","781","2","2024-06-01"
"93","1070","4","2025-03-01"
"94","989","1","2024-07-19"
"95","760","4","2024-09-04"
"96","1082","2","2024-04-24"
"97","755","2","2023-10-13"
"98","751","2","2024-06-29"
"99","279","1","2024-07-24"
"100","365","2","2025-08-07"
"101","671","2","2024-08-23"
"102","681","3","2023-04-03"
"103","611","1","2025-04-11"
"104","665","3","2023-08-08"
"105","170","1","2023-10-04"
"106","135","4","2023-04-09"
"107","499","1","2025-02-04"
"108","768","2","2024-04-05"
"109","196","3","2023-05-23"
"110","14","2","2024-07-30"
"111","259","1","2023-01-03"
"112","168","1","2026-04-20"
"113","1053","1","2023-10-10"
"114","27","4","2023-09-19"
"115","118","2","2024-12-06"
"116","793","4","2025-03-13"
"117","628","2","2026-05-23"
"118","704","3","2026-02-10"
"119","577","2","2025-08-01"
"120","409","2","2025-01-08"
"121","814","1","2024-09-10"
"122","846","4","2024-03-26"
"123","944","1","2024-06-15"
"124","1100","1","2023-05-09"
"125","709","4","2024-12-19"
"126","971","2","2024-03-30"
"127","375","2","2023-07-03"
"128","378","3","2024-01-01"
"129","250","1","2026-02-24"
"130","549","2","2023-05-28"
"131","1017","1","2023-07-16"
"132","380","4","2023-09-28"
"133","686","1","2024-01-08"
"134","918","2","2026-04-29"
"135","734","1","2023-10-09"
"136","599","2","2024-03-29"
"137","1092","4","2025-12-05"
"138","458","1","2026-03-06"
"139","388","1","2024-06-15"
"140","852","3","2025-10-30"
"141","575","3","2025-05-14"
"142","960","3","2025-06-22"
"143","270","3","2023-04-06"
"144","103","3","2025-03-02"
"145","578","2","2024-06-05"
"146","462","3","2026-05-10"
"147","772","3","2024-10-18"
"148","389","2","2025-07-06"
"149","323","1","2023-11-06"
"150","457","3","2026-01-07"
"151","1101","1","2023-04-30"
"152","36","2","2024-09-17"
"153","5","1","2023-05-08"
"154","351","3","2026-03-02"
"155","389","3","2023-11-14"
"156","840","4","2023-08-28"
"157","704","3","2024-10-29"
"158","947","2","2024-05-11"
"159","390","1","2023-03-26"
"160","800","1","2025-04-05"
"161","517","4","2023-09-27"
"162","604","1","2025-06-19"
"163","188","2","2023-05-20"
"164","744","2","2024-09-23"
"165","374","2","2025-05-24"
"166","980","3","2024-01-21"
"167","60","1","2023-03-17"
"168","1005","1","2024-11-03"
"169","674","3","2023-07-22"
"170","690","2","2026-03-26"
"171","25","3","2024-10-14"
"172","1096","1","2023-07-26"
"173","882","3","2023-07-05"
"174","325","1","2026-01-20"
"175","428","2","2025-05-14"
"176","553","3","2024-10-17"
"177","1071","3","2023-05-14"
"178","262","1","2025-03-21"
"179","761","2","2024-05-06"
"180","1077","2","2025-06-02"
"181","945","3","2024-03-18"
"182","228","1","2026-03-12"
"183","553","1","2023-06-18"
"184","227","3","2024-10-16"
"185","898","1","2026-02-15"
"186","304","3","2023-01-20"
"187","190","1","2025-02-26"
"188","1055","3","2024-07-21"
"189","659","2","2025-02-07"
"190","1026","2","2023-05-24"
"191","362","1","2026-07-17"
"192","360","2","2024-02-15"
"193","634","1","2025-10-04"
"194","553","2","2026-07-01"
"195","731","3","2024-06-09"
"196","879","2","2024-04-23"
"197","572","1","2023-06-18"
"198","413","1","2023-08-04"
"199","319","1","2024-12-27"
"200","909","2","2025-12-06"
"201","721","1","2025-08-11"
"202","291","3","2023-07-03"
"203","1031","2","2023-05-16"
"204","870","3","2023-09-08"
"205","574","2","2025-05-15"
"206","381","3","2025-06-24"
"207","423","2","2024-11-23"
"208","857","4","2023-06-21"
"209","988","2","2023-07-31"
"210","196","3","2024-06-29"
"211","520","1","2024-07-26"
"212","794","3","2024-03-31"
"213","6","1","2025-05-07"
"214","316","1","2025-02-05"
"215","554","3","2023-07-05"
"216","191","2","2026-03-05"
"217","1092","1","2024-07-04"
"218","994","2","2026-04-25"
"219","881","1","2024-12-26"
"220","654","2","2025-02-03"
"221","359","2","2026-05-01"
"222","276","4","2023-11-25"
"223","868","3","2023-07-04"
"224","796","3","2025-12-07"
"225","878","1","2024-11-17"
"226","641","1","2025-09-13"
"227","812","1","2025-02-07"
"228","84","1","2025-07-19"
"229","247","2","2026-01-27"
"230","1032","3","2025-09-13"
"231","1099","3","2023-11-24"
"232","487","1","2024-10-31"
"233","155","2","2025-08-12"
"234","99","2","2024-02-21"
"235","182","3","2023-06-04"
"236","542","2","2024-07-28"
"237","602","2","2024-05-11"
"238","1084","2","2025-04-15"
"239","707","4","2025-02-11"
"240","174","1","2023-11-13"
"241","659","1","2023-11-08"
"242","535","4","2026-02-18"
"243","595","1","2023-01-14"
"244","684","1","2026-06-27"
"245","732","2","2023-07-03"
"246","816","1","2023-04-07"
"247","82","2","2024-05-03"
"248","885","2","2025-09-25"
"249","826","1","2023-03-08"
"250","558","1","2025-05-12"
"251","806","3","2024-04-29"
"252","486","1","2023-03-01"
"253","1010","4","2024-08-27"
"254","580","2","2024-11-07"
"255","864","2","2025-04-11"
"256","669","3","2024-09-21"
"257","767","3","2025-08-17"
"258","660","2","2024-05-06"
"259","572","2","2024-08-23"
"260","309","1","2023-09-20"
"261","278","3","2026-07-14"
"262","538","2","2025-04-23"
"263","527","3","2025-02-19"
"264","132","1","2025-11-17"
"265","793","3","2024-01-30"
"266","1071","1","2025-03-27"
"267","478","4","2024-10-13"
"268","25","2","2026-04-10"
"269","1021","2","2024-04-01"
"270","586","3","2025-12-26"
"271","451","3","2023-12-11"
"272","178","2","2025-01-30"
"273","311","3","2023-12-17"
"274","927","2","2024-03-06"
"275","58","3","2026-07-18"
"276","623","2","2026-05-29"
"277","652","2","2025-06-20"
"278","465","4","2024-10-22"
"279","475","1","2025-05-16"
"280","78","2","2023-10-07"
"281","362","1","2023-09-08"
"282","203","3","2024-04-11"
"283","239","2","2026-02-16"
"284","863","2","2025-09-26"
"285","786","1","2024-05-19"
"286","556","1","2024-08-13"
"287","17","3","2024-08-15"
"288","213","2","2023-01-31"
"289","540","1","2024-01-03"
"290","1064","1","2023-10-16"
"291","207","2","2024-01-30"
"292","497","2","2024-07-20"
"293","807","1","2025-06-08"
"294","857","1","2024-02-07"
"295","1056","3","2024-02-07"
"296","610","3","2025-06-24"
"297","943","3","2023-07-01"
"298","988","1","2024-02-25"
"299","171","3","2023-02-21"
"300","123","2","2024-03-05"
"301","634","1","2023-02-03"
"302","777","1","2023-09-08"
"303","1018","2","2024-09-30"
"304","378","1","2025-07-07"
"305","206","2","2025-09-22"
"306","66","2","2023-01-03"
"307","1003","1","2026-02-13"
"308","264","4","2026-02-01"
"309","43","2","2026-01-20"
"310","170","4","2025-03-28"
"311","357","3","2024-03-11"
"312","372","2","2024-03-31"
"313","361","2","2025-04-11"
"314","127","2","2023-01-05"
"315","1095","3","2023-06-04"
"316","152","3","2026-07-03"
"317","583","1","2025-11-15"
"318","529","2","2023-07-31"
"319","791","2","2026-06-10"
"320","864","2","2023-09-16"
"321","13","2","2024-08-10"
"322","809","2","2025-09-26"
"323","420","4","2024-03-11"
"324","192","1","2026-02-28"
"325","1043","2","2024-11-27"
"326","74","3","2023-07-06"
"327","682","2","2026-01-03"
"328","549","3","2025-05-21"
"329","874","4","2023-08-07"
"330","1033","2","2025-03-09"
"331","774","1","2025-12-09"
"332","940","1","2023-02-13"
"333","689","1","2026-05-09"
"334","47","2","2024-03-01"
"335","773","3","2023-02-05"
"336","1078","3","2026-05-03"
"337","452","3","2026-07-21"
"338","501","2","2023-01-18"
"339","202","2","2025-11-08"
"340","666","1","2023-12-13"
"341","794","1","2024-11-06"
"342","478","1","2023-02-04"
"343","401","1","2023-02-10"
"344","135","4","2024-07-28"
"345","448","3","2024-05-30"
"346","10","2","2024-05-09"
"347","678","1","2024-01-21"
"348","166","1","2026-04-12"
"349","528","1","2023-07-27"
"350","858","1","2025-06-21"
"351","487","3","2023-08-08"
"352","763","3","2024-04-05"
"353","660","1","2025-06-25"
"354","635","2","2024-12-10"
"355","92","1","2023-06-04"
"356","793","2","2025-12-07"
"357","936","3","2023-08-22"
"358","1027","2","2025-10-21"
"359","592","1","2025-02-18"
"360","864","1","2024-02-29"
"361","162","1","2024-12-06"
"362","1063","3","2024-01-30"
"363","839","2","2024-11-18"
"364","858","4","2026-05-07"
"365","236","4","2025-03-07"
"366","481","2","2026-05-09"
"367","374","1","2024-01-20"
"368","1103","3","2025-08-09"
"369","350","2","2024-07-07"
"370","689","1","2025-05-03"
"371","145","1","2023-02-25"
"372","34","1","2026-06-26"
"373","511","1","2026-02-25"
"374","933","3","2024-03-10"
"375","1073","1","2024-06-17"
"376","570","2","2024-10-25"
"377","1005","4","2025-05-26"
"378","1032","2","2025-01-25"
"379","760","2","2025-06-19"
"380","491","2","2024-08-07"
"381","410","1","2024-09-02"
"382","866","4","2025-01-18"
"383","864","4","2023-06-09"
"384","786","3","2026-01-26"
"385","496","1","2026-06-30"
"386","263","1","2023-01-06"
"387","290","3","2024-12-28"
"388","769","2","2024-11-07"
"389","209","1","2023-12-22"
"390","739","2","2026-06-11"
"391","780","1","2026-06-15"
"392","721","3","2025-10-05"
"393","1057","2","2025-03-29"
"394","193","2","2025-03-07"
"395","201","1","2024-02-01"
"396","98","1","2025-01-10"
"397","1096","4","2024-01-16"
"398","979","2","2024-10-22"
"399","148","2","2025-01-03"
"400","576","1","2023-10-24"
"401","535","3","2024-07-12"
"402","315","4","2025-10-23"
"403","914","3","2026-02-23"
"404","1060","2","2024-11-19"
"405","231","1","2024-12-09"
"406","633","2","2023-07-15"
"407","619","3","2025-06-28"
"408","40","3","2023-06-09"
"409","748","2","2026-03-30"
"410","97","4","2026-05-21"
"411","468","3","2025-01-15"
"412","341","3","2023-06-04"
"413","702","4","2023-06-24"
"414","200","1","2023-08-16"
"415","193","2","2025-10-18"
"416","513","1","2026-03-11"
"417","510","1","2025-03-26"
"418","984","1","2024-09-29"
"419","622","1","2023-05-31"
"420","932","1","2024-04-22"
"421","738","1","2026-04-02"
"422","854","1","2023-01-24"
"423","354","1","2024-01-19"
"424","817","2","2026-06-07"
"425","637","2","2023-10-21"
"426","850","3","2024-03-03"
"427","8","2","2023-06-18"
"428","700","2","2024-08-21"
"429","57","3","2026-06-18"
"430","762","2","2024-10-22"
"431","963","2","2025-07-09"
"432","601","3","2025-08-22"
"433","121","1","2023-07-25"
"434","446","3","2024-11-06"
"435","665","2","2023-01-22"
"436","295","4","2023-05-06"
"437","477","1","2024-07-21"
"438","819","3","2023-04-09"
"439","708","2","2023-02-13"
"440","886","1","2024-05-01"
"441","197","3","2023-04-13"
"442","862","2","2026-05-05"
"443","1093","3","2024-03-30"
"444","1007","3","2023-07-26"
"445","679","3","2024-03-14"
"446","1039","3","2023-03-16"
"447","463","2","2023-02-06"
"448","162","1","2025-01-25"
"449","397","2","2025-05-02"
"450","226","2","2025-12-27"
"451","257","3","2024-10-07"
"452","176","3","2024-04-19"
"453","725","2","2025-03-09"
"454","134","1","2026-02-13"
"455","25","3","2024-05-19"
"456","867","1","2023-04-17"
"457","480","2","2025-01-07"
"458","675","2","2024-05-13"
"459","760","2","2024-06-22"
"460","675","1","2023-02-18"
"461","1088","3","2024-09-12"
"462","788","1","2023-05-10"
